x,y,z,label
-4.12E+03,8.44E+03,-1.39E+04,ALL
1.86E+04,1.44E+04,1.66E+04,ALL
-1.58E+04,1.40E+04,4.73E+04,ALL
-1.13E+04,4.53E+03,-9.43E+03,ALL
6.32E+03,2.03E+04,-4.58E+03,ALL
-3.94E+04,-1.07E+04,6.13E+04,ALL
-3.95E+04,-2.12E+04,-7.33E+03,ALL
-1.31E+04,-7.45E+03,-1.78E+04,ALL
1.39E+04,4.08E+04,5.44E+04,ALL
-1.33E+04,8.83E+03,4.22E+04,ALL
-1.55E+04,1.43E+04,3.29E+04,ALL
-1.91E+04,-2.25E+04,-6.13E+03,ALL
5.23E+03,1.98E+04,-2.32E+04,ALL
-5.12E+03,1.20E+04,1.02E+04,ALL
1.27E+04,3.44E+04,-6.36E+03,ALL
-1.47E+04,2.04E+04,-7.05E+03,ALL
2.45E+04,2.90E+04,6.93E+03,ALL
-6.45E+03,-5.93E+03,-7.62E+03,ALL
-1.30E+04,5.75E+03,-2.87E+04,ALL
4.73E+04,7.79E+04,-1.70E+04,ALL
-2.59E+04,3.54E+04,-4.33E+04,ALL
-2.34E+04,-1.68E+04,-2.73E+04,ALL
-5.26E+04,-8.50E+03,3.69E+04,ALL
-3.97E+03,2.21E+04,-8.75E+03,ALL
5.57E+03,-8.00E+03,-2.11E+04,ALL
-5.82E+03,1.09E+04,-2.98E+04,ALL
-3.80E+04,-1.18E+04,-1.37E+04,ALL
9.08E+03,-1.44E+04,-4.20E+03,AML
-4.82E+04,-3.87E+04,-2.36E+04,AML
6.51E+04,-5.50E+04,1.68E+04,AML
4.98E+04,-3.82E+04,2.94E+03,AML
1.08E+04,-1.69E+04,-9.46E+02,AML
2.59E+04,-8.08E+03,-7.82E+03,AML
-3.66E+03,-2.04E+04,-1.18E+04,AML
5.36E+04,-1.97E+04,4.29E+03,AML
2.11E+03,-2.26E+04,9.58E+03,AML
1.93E+04,-1.34E+04,2.14E+03,AML
4.22E+04,-3.32E+04,-3.12E+03,AML
