x,y,z,label
-1.30E+00,4.43E+00,-6.23E+00,ALL
5.61E+00,5.68E+00,8.20E+00,ALL
-1.03E+01,1.65E+00,1.76E+01,ALL
-4.44E+00,1.94E+00,-4.74E+00,ALL
1.88E+00,9.42E+00,-2.76E-01,ALL
-1.78E+01,-9.05E+00,2.16E+01,ALL
-1.51E+01,-1.11E+01,-7.35E+00,ALL
-3.86E+00,-2.87E+00,-8.97E+00,ALL
-2.91E-01,1.29E+01,2.28E+01,ALL
-7.27E+00,1.22E+00,1.77E+01,ALL
-8.59E+00,3.27E+00,1.38E+01,ALL
-4.83E+00,-9.32E+00,-3.88E+00,ALL
2.32E+00,1.03E+01,-8.73E+00,ALL
-3.24E+00,4.19E+00,4.59E+00,ALL
3.43E+00,1.54E+01,-4.23E-01,ALL
-6.76E+00,8.68E+00,-2.63E+00,ALL
6.15E+00,1.10E+01,4.08E+00,ALL
-2.66E-01,-1.01E+00,-2.65E+00,ALL
-3.20E+00,4.18E+00,-1.22E+01,ALL
1.20E+01,2.96E+01,-1.38E+00,ALL
-8.59E+00,1.52E+01,-1.44E+01,ALL
-6.47E+00,-6.66E+00,-1.37E+01,ALL
-2.24E+01,-8.13E+00,1.23E+01,ALL
-2.49E+00,9.76E+00,-2.78E+00,ALL
4.85E+00,-1.59E+00,-8.18E+00,ALL
-8.04E-01,6.75E+00,-1.25E+01,ALL
-1.37E+01,-5.86E+00,-8.29E+00,ALL
5.26E+00,-5.23E+00,-1.21E+00,AML
-1.59E+01,-1.75E+01,-1.42E+01,AML
2.47E+01,-1.80E+01,6.68E+00,AML
2.14E+01,-1.25E+01,2.97E+00,AML
6.19E+00,-6.60E+00,5.97E-01,AML
1.17E+01,-1.74E+00,-1.79E+00,AML
1.84E+00,-7.62E+00,-4.53E+00,AML
2.15E+01,-5.12E+00,4.07E+00,AML
2.00E+00,-9.53E+00,3.08E+00,AML
8.19E+00,-4.80E+00,1.01E+00,AML
1.84E+01,-1.13E+01,-1.40E-01,AML
